Abbreviated,Full Name
M8,Gentle Mates
EDG,EDward Gaming
XLG,Xi Lai Gaming
NRG,NRG
G2,G2 Esports
PRX,Paper Rex
T1,T1
TL,Team Liquid
FUR,FURIA
NS,Nongshim RedForce
BBL,BBL Esports
AG,All Gamers
ENVY,ENVY
EG,Evil Geniuses
LOUD,LOUD
C9,Cloud9
KRÜ,KRÜ Esports
100T,100 Thieves
LEV,LEVIATÁN
MIBR,MIBR
SEN,Sentinels
NAVI,Natus Vincere
KC,Karmine Corp
FUT,FUT Esports
PCF,PCIFIC Esports
ULF,ULF Esports
VIT,Team Vitality
TH,Team Heretics
GX,GIANTX
FNC,FNATIC
TS,Team Secret
ZETA,ZETA DIVISION
FS,FULL SENSE
VL,VARREL
GE,Global Esports
DFM,DetonatioN FocusMe
GEN,Gen.G
DRX,DRX
RRQ,Rex Regum Qeon
TE,Trace Esports
WOL,Wolves Esports
FPX,FunPlus Phoenix
TYL,TYLOO
NOVA,Nova Esports
JDG,JDG Esports
TEC,Titan Esports Club
BLG,Bilibili Gaming
DRG,Dragon Ranger Gaming
